n,k,known
0,0.0,0.0
10000,8940.5,322.0
20000,16345.5,556.5
30000,22493.0,716.0
40000,27891.0,873.0
50000,32739.0,952.5
60000,37123.0,1070.0
70000,41163.5,1156.0
80000,44714.5,1191.0
90000,48278.5,1284.5
100000,51588.5,1341.0
110000,54668.0,1391.5
120000,57635.0,1440.0
130000,60399.0,1485.0
140000,63062.5,1527.5
150000,65740.5,1554.0
160000,68085.0,1590.0
170000,70538.5,1642.0
180000,72830.0,1674.5
