n,k,known
0,0.0,0.0
10000,9211.5,214.5
20000,17111.5,343.5
30000,23949.0,473.5
40000,30129.5,563.5
50000,35698.0,651.0
60000,40806.0,721.0
70000,45576.0,790.5
80000,49979.0,846.5
