n,k,known
0,0.0,0.0
10000,9413.5,387.5
20000,17738.5,632.5
30000,25263.5,822.0
40000,32222.0,996.0
50000,38573.0,1108.0
60000,44713.5,1216.5
70000,50251.5,1275.0
80000,55547.0,1379.0
90000,60531.5,1428.5
100000,65515.5,1506.5
110000,70169.0,1586.5
120000,74581.5,1611.5
130000,78806.0,1677.5
140000,83034.5,1715.5
150000,87066.5,1771.0
160000,90975.0,1807.5
