n,k,known
0,0.0,0.0
1000,674.0,0.0
2000,1025.4,0.0
3000,1264.0,0.0
4000,1456.4,0.0
5000,1603.2,0.0
6000,1753.2,0.0
7000,1870.8,0.0
8000,1963.4,0.0
9000,2072.2,0.0
10000,2178.4,0.0
11000,2255.6,0.0
12000,2343.4,0.0
13000,2420.6,0.0
14000,2497.4,0.0
15000,2565.8,0.0
16000,2625.4,0.0
17000,2692.0,0.0
18000,2753.4,0.0
19000,2817.4,0.0
20000,2878.0,0.0
21000,2931.0,0.0
22000,3004.0,0.0
23000,3042.6,0.0
24000,3091.0,0.0
25000,3151.6,0.0
